date,home_team,away_team,home_score,away_score,boxscore_url
2010-04-21,Arizona D'Backs,St. Louis Cardinals,4,9,https://www.baseball-reference.com/boxes/ARI/ARI201004210.shtml
2010-04-21,Atlanta Braves,Philadelphia Phillies,0,2,https://www.baseball-reference.com/boxes/ATL/ATL201004210.shtml
2010-04-21,Boston Red Sox,Texas Rangers,8,7,https://www.baseball-reference.com/boxes/BOS/BOS201004210.shtml
2010-04-21,Chicago White Sox,Tampa Bay Rays,0,12,https://www.baseball-reference.com/boxes/CHA/CHA201004210.shtml
2010-04-21,Cincinnati Reds,Los Angeles Dodgers,6,14,https://www.baseball-reference.com/boxes/CIN/CIN201004210.shtml
2010-04-21,Houston Astros,Florida Marlins,5,4,https://www.baseball-reference.com/boxes/HOU/HOU201004210.shtml
2010-04-21,Minnesota Twins,Cleveland Indians,6,0,https://www.baseball-reference.com/boxes/MIN/MIN201004210.shtml
2010-04-21,New York Mets,Chicago Cubs,3,9,https://www.baseball-reference.com/boxes/NYN/NYN201004210.shtml
2010-04-21,Oakland Athletics,New York Yankees,1,3,https://www.baseball-reference.com/boxes/OAK/OAK201004210.shtml
2010-04-21,Pittsburgh Pirates,Milwaukee Brewers,0,8,https://www.baseball-reference.com/boxes/PIT/PIT201004210.shtml
2010-04-21,San Diego Padres,San Francisco Giants,5,2,https://www.baseball-reference.com/boxes/SDN/SDN201004210.shtml
2010-04-21,Seattle Mariners,Baltimore Orioles,4,1,https://www.baseball-reference.com/boxes/SEA/SEA201004210.shtml
2010-04-21,Toronto Blue Jays,Kansas City Royals,3,4,https://www.baseball-reference.com/boxes/TOR/TOR201004210.shtml
2010-04-21,Washington Nationals,Colorado Rockies,6,4,https://www.baseball-reference.com/boxes/WAS/WAS201004210.shtml
2010-04-22,LA Angels of Anaheim,Detroit Tigers,4,5,https://www.baseball-reference.com/boxes/ANA/ANA201004220.shtml
